City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tehuixtla,18.55,-99.2667,76.26,77,5,2.21,MX,2023-10-31 02:29:35
1,longyearbyen,78.2186,15.6401,33.64,75,75,12.66,SJ,2023-10-31 02:24:48
2,ta`u,-14.2336,-169.5144,80.47,79,34,24.56,AS,2023-10-31 02:29:35
3,hamilton,39.1834,-84.5333,39.97,84,40,3.44,US,2023-10-31 02:27:45
4,lukolela,-1.0605,17.1821,71.01,98,100,2.33,CD,2023-10-31 02:29:35
5,kayangel,8.0823,134.7173,83.8,74,13,7.07,PW,2023-10-31 02:29:35
6,ushuaia,-54.8,-68.3,38.86,65,75,23.02,AR,2023-10-31 02:26:25
7,kaitong,44.8135,123.15,51.35,34,100,14.81,CN,2023-10-31 02:29:35
8,port-aux-francais,-49.35,70.2167,38.7,88,100,39.19,TF,2023-10-31 02:24:41
9,dhidhdhoo,6.8833,73.1,80.82,76,72,2.57,MV,2023-10-31 02:29:35
10,san patricio,28.017,-97.5169,48.04,76,100,15.57,US,2023-10-31 02:29:35
11,albany,42.6001,-73.9662,43.05,81,100,4.0,US,2023-10-31 02:29:35
12,kone,-21.0595,164.8658,79.79,48,30,8.86,NC,2023-10-31 02:26:55
13,papatowai,-46.5619,169.4708,59.83,63,100,6.22,NZ,2023-10-31 02:29:36
14,queenstown,-31.8976,26.8753,43.61,82,50,2.51,ZA,2023-10-31 02:25:42
15,mana,5.6592,-53.7767,80.13,86,8,10.83,GF,2023-10-31 02:29:36
16,orapa,-21.2833,25.3667,58.95,83,37,17.29,BW,2023-10-31 02:29:36
17,bikenibeu village,1.3673,173.1241,87.76,70,40,5.75,KI,2023-10-31 02:25:26
18,camacupa,-12.0167,17.4833,64.99,89,100,4.65,AO,2023-10-31 02:29:36
19,rongelap,11.1635,166.8941,83.37,78,83,21.18,MH,2023-10-31 02:25:47
20,naze,28.3667,129.4833,76.12,66,91,11.95,JP,2023-10-31 02:29:36
21,marsh harbour,26.5412,-77.0636,79.9,87,4,15.08,BS,2023-10-31 02:29:36
22,mermoz boabab,14.7065,-17.4758,77.56,80,4,8.08,SN,2023-10-31 02:29:36
23,necochea,-38.5473,-58.7368,46.56,66,4,8.3,AR,2023-10-31 02:29:37
24,iskilip,40.7353,34.4739,59.11,68,100,2.64,TR,2023-10-31 02:29:37
25,constitucion,-35.3333,-72.4167,47.71,74,100,12.77,CL,2023-10-31 02:29:37
26,nazyvayevsk,55.5698,71.3529,21.96,94,96,11.3,RU,2023-10-31 02:29:37
27,togur,58.3631,82.8265,14.14,90,7,8.01,RU,2023-10-31 02:29:37
28,tiksi,71.6872,128.8694,-5.3,100,81,2.64,RU,2023-10-31 02:29:37
29,adamstown,-25.066,-130.1015,73.54,75,100,6.62,PN,2023-10-31 02:24:41
30,waitangi,-43.9535,-176.5597,59.83,79,100,14.0,NZ,2023-10-31 02:24:41
31,alexander city,32.944,-85.9539,55.31,88,100,12.66,US,2023-10-31 02:29:37
32,ikem,6.779,7.7169,72.73,87,100,2.95,NG,2023-10-31 02:29:37
33,argos orestiko,40.4667,21.2667,52.66,75,0,1.59,GR,2023-10-31 02:29:37
34,grootfontein,-19.5667,18.1167,62.17,39,0,2.3,NA,2023-10-31 02:27:13
35,avarua,-21.2078,-159.775,75.25,73,75,13.8,CK,2023-10-31 02:29:38
36,villa gesell,-37.2639,-56.973,53.06,59,33,12.01,AR,2023-10-31 02:26:40
37,enewetak,11.3474,162.3373,81.91,83,100,15.95,MH,2023-10-31 02:24:56
38,sao gotardo,-19.3111,-46.0489,73.33,68,100,2.62,BR,2023-10-31 02:29:38
39,bethel,41.3712,-73.414,49.77,81,100,4.61,US,2023-10-31 02:26:34
40,olonkinbyen,70.9221,-8.7187,35.24,75,100,11.5,SJ,2023-10-31 02:27:00
41,fale old settlement,-9.3852,-171.2468,83.52,77,100,15.9,TK,2023-10-31 02:29:38
42,kapa'a,22.0752,-159.319,82.72,73,40,8.05,US,2023-10-31 02:29:38
43,aykhal,66.0,111.5,-6.47,99,99,6.96,RU,2023-10-31 02:29:38
44,mitu,1.1983,-70.1733,79.41,75,70,1.72,CO,2023-10-31 02:28:00
45,karungdong,5.8844,121.263,85.35,66,91,5.35,PH,2023-10-31 02:29:38
46,remire-montjoly,4.9167,-52.2667,80.64,89,100,0.0,GF,2023-10-31 02:29:38
47,puerto ayora,-0.7393,-90.3518,74.55,91,100,4.0,EC,2023-10-31 02:29:38
48,nar'yan-mar,67.6713,53.087,20.1,95,89,10.0,RU,2023-10-31 02:25:15
49,west island,-12.1568,96.8225,80.58,83,40,16.11,CC,2023-10-31 02:24:43
50,bayganin,48.6947,55.8742,36.7,81,100,9.13,KZ,2023-10-31 02:29:39
51,pakuranga,-36.8833,174.9167,71.26,36,20,13.8,NZ,2023-10-31 02:29:39
52,thompson,55.7435,-97.8558,19.56,79,100,5.75,CA,2023-10-31 02:24:43
53,alesund,62.4723,6.1549,36.75,73,20,12.66,NO,2023-10-31 02:29:39
54,lihue,21.9789,-159.3672,81.99,72,40,8.05,US,2023-10-31 02:24:58
55,ilulissat,69.2167,-51.1,35.62,51,7,16.11,GL,2023-10-31 02:24:44
56,udachny,66.4167,112.4,-5.19,99,100,5.7,RU,2023-10-31 02:29:39
57,lazaro cardenas,17.9583,-102.2,79.99,86,13,3.94,MX,2023-10-31 02:29:39
58,shahrud,36.4182,54.9763,53.2,78,99,8.55,IR,2023-10-31 02:29:39
59,grytviken,-54.2811,-36.5092,37.33,81,83,6.6,GS,2023-10-31 02:24:43
60,labuan bajo,-8.4964,119.8877,86.02,61,1,7.99,ID,2023-10-31 02:29:40
61,clodomira,-27.5744,-64.1311,59.59,75,97,13.09,AR,2023-10-31 02:25:22
62,shuangjiang,26.1547,109.7138,69.82,56,100,1.88,CN,2023-10-31 02:29:40
63,lebu,-37.6167,-73.65,45.91,81,97,8.59,CL,2023-10-31 02:29:40
64,yellowknife,62.456,-114.3525,28.42,100,75,4.61,CA,2023-10-31 02:23:46
65,rumphi,-11.0186,33.8575,70.02,71,97,9.98,MW,2023-10-31 02:29:40
66,ribeira grande,38.5167,-28.7,67.77,85,50,18.99,PT,2023-10-31 02:24:57
67,flying fish cove,-10.4217,105.6791,82.08,78,100,9.22,CX,2023-10-31 02:29:40
